time_s,acceleration_g
0.000000,0.031008
0.000083,0.164822
0.000167,0.249712
0.000250,0.236195
0.000333,0.334872
0.000417,0.187212
0.000500,0.356986
0.000583,0.495268
0.000667,0.540022
0.000750,0.614200
0.000833,0.608225
0.000917,0.731187
0.001000,0.739044
0.001083,0.652488
0.001167,0.843156
0.001250,0.919528
0.001333,0.793684
0.001417,0.919652
0.001500,1.002139
0.001583,1.127188
0.001667,1.006637
0.001750,1.088604
0.001833,1.145281
0.001917,1.118074
0.002000,1.087896
0.002083,1.268645
0.002167,1.137178
0.002250,1.271148
0.002333,1.093864
0.002417,1.240616
0.002500,1.321680
0.002583,1.199214
0.002667,1.247569
0.002750,1.113842
0.002833,1.401861
0.002917,1.205893
0.003000,1.242717
0.003083,1.151869
0.003167,1.111383
0.003250,1.261555
0.003333,1.138097
0.003417,1.237078
0.003500,1.057510
0.003583,1.194683
0.003667,1.034964
0.003750,0.892094
0.003833,1.114923
0.003917,0.951967
0.004000,0.925149
0.004083,1.017151
0.004167,0.951167
0.004250,0.856768
0.004333,0.790710
0.004417,0.697950
0.004500,0.757770
0.004583,0.656191
0.004667,0.796724
0.004750,0.680644
0.004833,0.589579
0.004917,0.825465
0.005000,0.620354
0.005083,0.482010
0.005167,0.423163
0.005250,0.625031
0.005333,0.572798
0.005417,0.372039
0.005500,0.342302
0.005583,0.381735
0.005667,0.343081
0.005750,0.212232
0.005833,0.357752
0.005917,0.286157
0.006000,0.261169
0.006083,0.229130
0.006167,0.161993
0.006250,0.387845
0.006333,0.167143
0.006417,0.442272
0.006500,0.247124
0.006583,0.100280
0.006667,0.086585
0.006750,0.173730
0.006833,0.121285
0.006917,0.229920
0.007000,0.136290
0.007083,0.071822
0.007167,0.177067
0.007250,0.148850
0.007333,0.085778
0.007417,0.097124
0.007500,0.045088
0.007583,0.006822
0.007667,0.045734
0.007750,0.131715
0.007833,-0.085157
0.007917,0.123238
0.008000,0.167661
0.008083,-0.057834
0.008167,0.016541
0.008250,-0.135774
0.008333,-0.248399
0.008417,-0.119799
0.008500,0.026647
0.008583,-0.091154
0.008667,-0.111375
0.008750,-0.153341
0.008833,-0.057321
0.008917,-0.196287
0.009000,-0.340772
0.009083,-0.328828
0.009167,-0.301823
0.009250,-0.469221
0.009333,-0.523545
0.009417,-0.459973
0.009500,-0.506906
0.009583,-0.614409
0.009667,-0.735061
0.009750,-0.575973
0.009833,-0.781239
0.009917,-0.665977
0.010000,-0.763859
0.010083,-0.920997
0.010167,-0.719209
0.010250,-0.876715
0.010333,-1.039100
0.010417,-1.019129
0.010500,-1.164307
0.010583,-0.890728
0.010667,-1.248647
0.010750,-1.010749
0.010833,-1.140261
0.010917,-1.035034
0.011000,-1.330570
0.011083,-1.210199
0.011167,-1.092390
0.011250,-1.368400
0.011333,-1.337598
0.011417,-1.380360
0.011500,-1.258089
0.011583,-1.446282
0.011667,-1.223833
0.011750,-1.296007
0.011833,-1.285145
0.011917,-1.214230
0.012000,-1.294556
0.012083,-1.215793
0.012167,-1.270355
0.012250,-1.172361
0.012333,-1.240213
0.012417,-1.148268
0.012500,-1.131070
0.012583,-1.392263
0.012667,-1.180949
0.012750,-1.009028
0.012833,-0.963197
0.012917,-0.932568
0.013000,-0.808650
0.013083,-0.888938
0.013167,-0.847678
0.013250,-0.801744
0.013333,-0.582640
0.013417,-0.735461
0.013500,-0.480694
0.013583,-0.565479
0.013667,-0.468435
0.013750,-0.341968
0.013833,-0.345949
0.013917,-0.199241
0.014000,-0.150435
0.014083,0.037739
0.014167,0.032463
0.014250,0.222054
0.014333,0.208960
0.014417,0.297852
0.014500,0.477631
0.014583,0.452416
0.014667,0.508345
0.014750,0.605386
0.014833,0.510684
0.014917,0.904986
0.015000,0.725376
0.015083,0.956686
0.015167,0.916483
0.015250,0.933522
0.015333,1.129276
0.015417,1.133781
0.015500,1.017566
0.015583,1.256382
0.015667,1.325325
0.015750,1.267213
0.015833,1.294968
0.015917,1.362423
0.016000,1.366488
0.016083,1.440523
0.016167,1.573333
0.016250,1.414919
0.016333,1.558020
0.016417,1.371515
0.016500,1.536769
0.016583,1.536279
0.016667,1.508089
0.016750,1.427736
0.016833,1.484656
0.016917,1.418349
0.017000,1.526757
0.017083,1.399587
0.017167,1.484395
0.017250,1.407126
0.017333,1.424981
0.017417,1.255987
0.017500,1.326754
0.017583,1.226854
0.017667,1.092674
0.017750,1.256589
0.017833,1.209886
0.017917,1.044028
0.018000,0.986315
0.018083,1.183810
0.018167,0.962842
0.018250,1.055856
0.018333,0.941851
0.018417,0.929851
0.018500,0.774589
0.018583,0.782428
0.018667,0.697127
0.018750,0.704395
0.018833,0.673748
0.018917,0.698749
0.019000,0.505988
0.019083,0.501552
0.019167,0.438205
0.019250,0.341140
0.019333,0.340443
0.019417,0.341035
0.019500,0.310350
0.019583,0.094343
0.019667,0.335512
0.019750,0.225346
0.019833,0.129509
0.019917,0.119205
0.020000,0.041237
0.020083,0.274359
0.020167,0.067977
0.020250,0.171002
0.020333,-0.232983
0.020417,-0.036960
0.020500,0.175636
0.020583,-0.065507
0.020667,0.055499
0.020750,-0.066197
0.020833,-0.158038
0.020917,-0.074303
0.021000,-0.114095
0.021083,-0.026932
0.021167,-0.079118
0.021250,-0.123459
0.021333,-0.062204
0.021417,-0.228336
0.021500,-0.211879
0.021583,0.007751
0.021667,-0.066845
0.021750,-0.223268
0.021833,-0.264866
0.021917,-0.249664
0.022000,-0.178494
0.022083,-0.327999
0.022167,-0.170759
0.022250,-0.278760
0.022333,-0.284156
0.022417,-0.376507
0.022500,-0.359597
0.022583,-0.523573
0.022667,-0.519596
0.022750,-0.444761
0.022833,-0.632089
0.022917,-0.542877
0.023000,-0.371064
0.023083,-0.420078
0.023167,-0.733893
0.023250,-0.560139
0.023333,-0.612914
0.023417,-0.668151
0.023500,-0.883224
