time_s,acceleration_g
0.000000,0.012237
0.000083,0.325314
0.000167,0.494658
0.000250,0.896136
0.000333,1.088281
0.000417,1.327995
0.000500,1.311670
0.000583,1.783006
0.000667,1.862939
0.000750,1.857909
0.000833,2.115479
0.000917,2.070376
0.001000,2.144838
0.001083,2.139332
0.001167,1.966149
0.001250,1.979664
0.001333,1.923358
0.001417,1.760057
0.001500,1.797331
0.001583,1.757773
0.001667,1.689189
0.001750,1.831256
0.001833,1.433998
0.001917,1.257815
0.002000,1.237713
0.002083,1.087934
0.002167,1.476139
0.002250,1.205726
0.002333,0.985105
0.002417,1.046358
0.002500,1.073213
0.002583,0.794182
0.002667,0.628382
0.002750,0.788213
0.002833,0.507841
0.002917,0.177778
0.003000,0.181838
0.003083,0.043832
0.003167,-0.115593
0.003250,-0.165068
0.003333,-0.336876
0.003417,-0.420620
0.003500,-0.469512
0.003583,-0.767375
0.003667,-0.643057
0.003750,-0.932224
0.003833,-0.990697
0.003917,-1.049042
0.004000,-1.206463
0.004083,-1.296437
0.004167,-1.292475
0.004250,-1.531098
0.004333,-1.504725
0.004417,-1.661771
0.004500,-1.807507
0.004583,-2.016005
0.004667,-2.227084
0.004750,-2.057441
0.004833,-2.272070
0.004917,-2.489177
0.005000,-2.365063
0.005083,-2.718313
0.005167,-2.730657
0.005250,-2.685560
0.005333,-2.507915
0.005417,-2.635820
0.005500,-2.446019
0.005583,-2.254870
0.005667,-2.117592
0.005750,-1.852154
0.005833,-1.526202
0.005917,-1.165005
0.006000,-0.720179
0.006083,-0.203853
0.006167,0.231495
0.006250,0.632401
0.006333,1.074060
0.006417,1.626156
0.006500,1.712047
0.006583,2.125714
0.006667,2.572368
0.006750,2.870952
0.006833,2.978277
0.006917,3.257417
0.007000,3.342231
0.007083,3.254148
0.007167,3.389539
0.007250,3.178780
0.007333,3.090258
0.007417,3.183924
0.007500,2.889199
0.007583,2.747010
0.007667,2.733148
0.007750,2.478220
0.007833,2.473954
0.007917,2.311941
0.008000,2.333943
0.008083,1.845495
0.008167,1.722959
0.008250,1.918835
0.008333,1.711057
0.008417,1.721364
0.008500,1.545542
0.008583,1.506150
0.008667,1.186895
0.008750,1.130639
0.008833,1.061057
0.008917,0.844592
0.009000,0.694944
0.009083,0.532273
0.009167,0.377511
0.009250,-0.067774
0.009333,0.042793
0.009417,0.064223
0.009500,-0.318569
0.009583,-0.400770
0.009667,-0.796852
0.009750,-0.610724
0.009833,-0.720086
0.009917,-1.009109
0.010000,-0.885343
0.010083,-1.317613
0.010167,-1.399663
0.010250,-1.188268
0.010333,-1.438856
0.010417,-1.414854
0.010500,-1.807025
0.010583,-1.775123
0.010667,-1.824189
0.010750,-2.061243
0.010833,-2.322527
0.010917,-2.239606
0.011000,-2.485865
0.011083,-2.566346
0.011167,-2.565295
0.011250,-2.692656
0.011333,-2.741111
0.011417,-2.759227
0.011500,-2.591611
0.011583,-2.687975
0.011667,-2.364593
0.011750,-2.201860
0.011833,-2.176231
0.011917,-1.836050
0.012000,-1.395463
0.012083,-1.014389
0.012167,-0.615736
0.012250,-0.119841
0.012333,-0.054429
0.012417,0.507027
0.012500,1.119311
0.012583,1.329188
0.012667,1.720458
0.012750,2.006636
0.012833,2.188399
0.012917,2.556173
0.013000,2.433366
0.013083,2.740949
0.013167,2.793350
0.013250,2.686138
0.013333,2.720491
0.013417,2.510110
0.013500,2.615622
0.013583,2.253997
0.013667,2.374982
0.013750,2.237319
0.013833,2.140779
0.013917,2.037704
0.014000,1.910962
0.014083,1.565823
0.014167,1.580205
0.014250,1.573507
0.014333,1.543673
0.014417,1.185236
0.014500,1.247572
0.014583,1.188938
0.014667,1.024423
0.014750,1.052196
0.014833,0.960186
0.014917,0.776398
0.015000,0.547824
0.015083,0.479589
0.015167,0.440438
0.015250,0.375041
0.015333,0.223830
0.015417,0.138217
0.015500,0.042354
0.015583,-0.303976
0.015667,-0.406587
0.015750,-0.490019
0.015833,-0.382084
0.015917,-0.537297
0.016000,-0.596309
0.016083,-0.891622
0.016167,-0.758407
0.016250,-0.941907
0.016333,-1.091267
0.016417,-1.014869
0.016500,-1.125824
0.016583,-1.126193
0.016667,-1.095444
0.016750,-1.194139
0.016833,-1.034727
0.016917,-1.051520
0.017000,-1.193195
0.017083,-1.525990
0.017167,-1.561013
0.017250,-1.696425
0.017333,-1.722500
0.017417,-1.652962
0.017500,-1.562434
0.017583,-1.776557
0.017667,-1.710481
0.017750,-1.511921
0.017833,-1.483030
0.017917,-1.256807
0.018000,-1.159714
0.018083,-0.900505
0.018167,-0.906674
0.018250,-0.565860
0.018333,-0.548283
0.018417,-0.306125
0.018500,-0.221997
0.018583,0.264831
0.018667,0.222355
0.018750,0.422636
0.018833,0.477541
0.018917,0.835460
0.019000,0.871042
0.019083,0.878847
0.019167,0.900102
0.019250,1.121541
0.019333,1.228079
0.019417,0.929954
0.019500,1.207156
0.019583,1.067707
0.019667,0.939690
0.019750,1.083310
0.019833,0.776148
0.019917,0.723816
0.020000,0.668762
0.020083,0.749139
0.020167,0.555085
0.020250,0.449672
0.020333,0.472939
0.020417,0.533552
0.020500,0.190739
0.020583,0.235116
0.020667,0.303638
0.020750,0.351403
0.020833,0.214287
0.020917,0.155069
0.021000,0.236536
