time_s,acceleration_g
0.000000,0.008552
0.000083,0.286876
0.000167,0.394306
0.000250,0.680755
0.000333,0.781550
0.000417,0.972280
0.000500,1.081459
0.000583,1.095377
0.000667,1.387649
0.000750,1.595587
0.000833,1.640571
0.000917,1.829252
0.001000,1.949810
0.001083,1.820123
0.001167,2.002522
0.001250,2.067388
0.001333,2.008067
0.001417,1.915276
0.001500,1.894008
0.001583,1.854400
0.001667,1.843819
0.001750,1.801896
0.001833,1.672257
0.001917,1.744976
0.002000,1.604060
0.002083,1.653241
0.002167,1.367325
0.002250,1.383897
0.002333,1.354572
0.002417,1.210508
0.002500,1.078875
0.002583,1.106311
0.002667,1.118446
0.002750,1.006971
0.002833,0.938951
0.002917,0.905384
0.003000,0.938397
0.003083,0.820900
0.003167,1.034352
0.003250,0.822436
0.003333,0.870621
0.003417,0.836061
0.003500,1.028157
0.003583,0.743349
0.003667,0.911094
0.003750,0.643569
0.003833,0.742663
0.003917,0.672222
0.004000,0.651861
0.004083,0.572828
0.004167,0.565873
0.004250,0.363981
0.004333,0.517572
0.004417,0.233686
0.004500,0.268063
0.004583,0.282837
0.004667,0.072332
0.004750,0.094550
0.004833,0.012633
0.004917,-0.155239
0.005000,-0.163485
0.005083,-0.171570
0.005167,-0.240144
0.005250,-0.391029
0.005333,-0.471477
0.005417,-0.359973
0.005500,-0.518949
0.005583,-0.509204
0.005667,-0.582814
0.005750,-0.757476
0.005833,-0.660237
0.005917,-0.650912
0.006000,-0.776484
0.006083,-0.638693
0.006167,-0.689588
0.006250,-0.611630
0.006333,-0.989882
0.006417,-0.934096
0.006500,-0.897246
0.006583,-0.884407
0.006667,-0.960934
0.006750,-0.981588
0.006833,-1.260544
0.006917,-1.168635
0.007000,-1.216151
0.007083,-1.426375
0.007167,-1.443491
0.007250,-1.573281
0.007333,-1.709959
0.007417,-1.683503
0.007500,-1.851343
0.007583,-1.854300
0.007667,-2.066892
0.007750,-2.212138
0.007833,-2.102319
0.007917,-2.234923
0.008000,-2.158967
0.008083,-2.204906
0.008167,-2.179838
0.008250,-2.082435
0.008333,-1.931479
0.008417,-1.987602
0.008500,-1.806150
0.008583,-1.735120
0.008667,-1.715680
0.008750,-1.326602
0.008833,-1.221108
0.008917,-0.994783
0.009000,-0.760162
0.009083,-0.634011
0.009167,-0.263818
0.009250,-0.155530
0.009333,0.165830
0.009417,0.432535
0.009500,0.817961
0.009583,0.869707
0.009667,1.115390
0.009750,1.348142
0.009833,1.687690
0.009917,1.901560
