time_s,acceleration_g
0.000000,-0.028545
0.000083,0.008564
0.000167,-0.006192
0.000250,0.044888
0.000333,-0.011616
0.000417,0.030950
0.000500,0.017468
0.000583,0.035296
0.000667,0.033047
0.000750,0.008494
0.000833,0.006009
0.000917,0.048769
0.001000,0.052231
0.001083,0.036610
0.001167,0.036937
0.001250,0.025212
0.001333,0.040624
0.001417,-0.019544
0.001500,0.062968
0.001583,0.086640
0.001667,0.032767
0.001750,0.068845
0.001833,0.073117
0.001917,0.061413
0.002000,0.075767
0.002083,0.092135
0.002167,0.092281
0.002250,0.085268
0.002333,0.073772
0.002417,0.088919
0.002500,0.085473
0.002583,0.058602
0.002667,0.078674
0.002750,0.104295
0.002833,0.101749
0.002917,0.116316
0.003000,0.095298
0.003083,0.113885
0.003167,0.113270
0.003250,0.096920
0.003333,0.120894
0.003417,0.113571
0.003500,0.147948
0.003583,0.118329
0.003667,0.124445
0.003750,0.104206
0.003833,0.150433
0.003917,0.112447
0.004000,0.114233
0.004083,0.127552
0.004167,0.139363
0.004250,0.106275
0.004333,0.134428
0.004417,0.186732
0.004500,0.121538
0.004583,0.139724
0.004667,0.097436
0.004750,0.134035
0.004833,0.144716
0.004917,0.148123
0.005000,0.112794
0.005083,0.172191
0.005167,0.156510
0.005250,0.136845
0.005333,0.150864
0.005417,0.162224
0.005500,0.148698
0.005583,0.126255
0.005667,0.146236
0.005750,0.165535
0.005833,0.167572
0.005917,0.159386
0.006000,0.149682
0.006083,0.139658
0.006167,0.134522
0.006250,0.123152
0.006333,0.167273
0.006417,0.154628
0.006500,0.139792
0.006583,0.158068
0.006667,0.135821
0.006750,0.159086
0.006833,0.092441
0.006917,0.155024
0.007000,0.137682
0.007083,0.141515
0.007167,0.131095
0.007250,0.142703
0.007333,0.125519
0.007417,0.120288
0.007500,0.141220
0.007583,0.137577
0.007667,0.135153
0.007750,0.144975
0.007833,0.114392
0.007917,0.124835
0.008000,0.107831
0.008083,0.146009
0.008167,0.129931
0.008250,0.098920
0.008333,0.140745
0.008417,0.109600
0.008500,0.144108
0.008583,0.105106
0.008667,0.108939
0.008750,0.106892
0.008833,0.120976
0.008917,0.114004
0.009000,0.128155
0.009083,0.073503
0.009167,0.100642
0.009250,0.099839
0.009333,0.090222
0.009417,0.101566
0.009500,0.075137
0.009583,0.084126
0.009667,0.102153
0.009750,0.103621
0.009833,0.128337
0.009917,0.118833
0.010000,0.037058
0.010083,0.067347
0.010167,0.071328
0.010250,0.068323
0.010333,0.063544
0.010417,0.074605
0.010500,0.077663
0.010583,0.088169
0.010667,0.084408
0.010750,0.077660
0.010833,0.058277
0.010917,0.054371
0.011000,0.062711
0.011083,0.061698
0.011167,0.071646
0.011250,0.078308
0.011333,0.071575
0.011417,0.078315
0.011500,0.059623
0.011583,0.035514
0.011667,0.075912
0.011750,0.029809
0.011833,0.061305
0.011917,0.078374
0.012000,0.035738
0.012083,0.058018
0.012167,0.039839
0.012250,0.013642
0.012333,0.057573
0.012417,0.061863
0.012500,0.045466
0.012583,0.026956
0.012667,0.039036
0.012750,0.032904
0.012833,0.025876
0.012917,0.011161
0.013000,0.037765
0.013083,0.017543
0.013167,0.047476
0.013250,0.032096
0.013333,0.012231
0.013417,0.036315
0.013500,0.037130
0.013583,0.011499
0.013667,0.044768
0.013750,0.028443
0.013833,0.068178
0.013917,0.018182
0.014000,0.023268
0.014083,0.052576
0.014167,0.029789
0.014250,0.068381
0.014333,0.036645
0.014417,-0.011256
0.014500,0.052722
0.014583,0.033228
0.014667,0.033292
0.014750,0.048082
0.014833,0.001228
0.014917,0.052110
0.015000,-0.003279
0.015083,0.013568
0.015167,-0.006497
0.015250,0.015567
0.015333,-0.005184
0.015417,0.010884
0.015500,0.018279
0.015583,0.010792
0.015667,-0.008772
0.015750,0.026675
0.015833,0.018495
0.015917,0.031461
0.016000,0.023442
0.016083,0.011102
0.016167,0.043116
0.016250,0.009868
0.016333,0.014850
0.016417,-0.002723
0.016500,-0.013503
0.016583,0.033936
0.016667,0.015393
0.016750,0.017353
0.016833,0.005476
0.016917,0.003587
0.017000,-0.025036
0.017083,-0.019061
0.017167,-0.013286
0.017250,0.000052
0.017333,-0.004844
0.017417,-0.005332
0.017500,0.006266
0.017583,0.005510
0.017667,-0.025044
0.017750,-0.016877
0.017833,-0.000779
0.017917,-0.042478
0.018000,0.010008
0.018083,-0.021401
0.018167,-0.008107
0.018250,-0.050886
0.018333,-0.016081
0.018417,0.002616
0.018500,-0.026760
0.018583,-0.029592
0.018667,-0.015405
0.018750,-0.033037
0.018833,-0.031318
0.018917,-0.020878
0.019000,-0.016799
0.019083,-0.037492
0.019167,-0.039536
0.019250,-0.013097
0.019333,-0.040102
0.019417,0.017977
0.019500,-0.030311
0.019583,-0.037510
0.019667,-0.031359
0.019750,-0.033482
0.019833,-0.048934
0.019917,-0.013110
0.020000,-0.033794
0.020083,-0.011500
0.020167,-0.042816
0.020250,-0.047563
0.020333,-0.078436
0.020417,-0.048036
0.020500,-0.037258
0.020583,-0.061684
0.020667,-0.055937
0.020750,-0.039665
